Sample Id	CDC25C: Putative copy-number alterations from GISTIC	CDC25C: mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)	Copy Number Alterations
TCGA-A8-A0A6-01	Diploid	14.3636	CDC25C: Diploid
TCGA-A8-A0A7-01	Diploid	72.6345	CDC25C: Diploid
TCGA-A8-A0AB-01	Diploid	92.5422	CDC25C: Diploid
TCGA-A8-A0AD-01	Diploid	47.9303	CDC25C: Diploid
TCGA-AC-A23C-01	Diploid	71.2889	CDC25C: Diploid
TCGA-AC-A23H-01	Diploid	175.854	CDC25C: Diploid
TCGA-AC-A2B8-01	Diploid	37.7929	CDC25C: Diploid
TCGA-AC-A2BM-01	Diploid	103.502	CDC25C: Diploid
TCGA-AC-A2FB-01	Diploid	47.3296	CDC25C: Diploid
TCGA-AC-A2FF-01	Diploid	57.649	CDC25C: Diploid
TCGA-AC-A2FG-01	Diploid	24.8795	CDC25C: Diploid
TCGA-AC-A2FK-01	Diploid	5.7803	CDC25C: Diploid
TCGA-AC-A2FO-01	Diploid	26.7649	CDC25C: Diploid
TCGA-AC-A2QH-01	Diploid	235.779	CDC25C: Diploid
TCGA-AC-A3OD-01	Diploid	69.0198	CDC25C: Diploid
TCGA-AC-A3QP-01	Diploid	17.9595	CDC25C: Diploid
TCGA-AC-A3QQ-01	Diploid	205.985	CDC25C: Diploid
TCGA-AC-A3YI-01	Diploid	18.4005	CDC25C: Diploid
TCGA-AC-A3YJ-01	Diploid	48.9737	CDC25C: Diploid
TCGA-AC-A4ZE-01	Diploid	97.1904	CDC25C: Diploid
TCGA-AC-A5EH-01	Diploid	107.216	CDC25C: Diploid
TCGA-AC-A5XS-01	Diploid	124.498	CDC25C: Diploid
TCGA-AC-A62V-01	Diploid	248.778	CDC25C: Diploid
TCGA-AC-A62Y-01	Diploid	59.3325	CDC25C: Diploid
TCGA-AC-A6IV-01	Diploid	79.7671	CDC25C: Diploid
TCGA-AC-A6IX-01	Diploid	48.4915	CDC25C: Diploid
TCGA-AC-A6NO-01	Diploid	88.968	CDC25C: Diploid
TCGA-AC-A7VB-01	Diploid	256.073	CDC25C: Diploid
TCGA-AC-A8OR-01	Diploid	25.6917	CDC25C: Diploid
TCGA-AC-A8OS-01	Diploid	31.1677	CDC25C: Diploid
TCGA-AN-A03X-01	Diploid	51.0285	CDC25C: Diploid
TCGA-AN-A046-01	Diploid	93.1465	CDC25C: Diploid
TCGA-AN-A04A-01	Diploid	80.5322	CDC25C: Diploid
TCGA-AN-A04D-01	Diploid	353.588	CDC25C: Diploid
TCGA-AN-A0FD-01	Diploid	171.684	CDC25C: Diploid
TCGA-AN-A0FF-01	Diploid	126.257	CDC25C: Diploid
TCGA-AN-A0FN-01	Diploid	39.4467	CDC25C: Diploid
TCGA-AN-A0FS-01	Diploid	45.3293	CDC25C: Diploid
TCGA-AN-A0XL-01	Diploid	104.795	CDC25C: Diploid
TCGA-AN-A0XP-01	Diploid	37.9421	CDC25C: Diploid
TCGA-AN-A0XR-01	Diploid	228.611	CDC25C: Diploid
TCGA-AN-A0XS-01	Diploid	69.9636	CDC25C: Diploid
TCGA-AN-A0XT-01	Diploid	46.1605	CDC25C: Diploid
TCGA-AN-A0XV-01	Diploid	97.629	CDC25C: Diploid
TCGA-AN-A0XW-01	Diploid	187.901	CDC25C: Diploid
TCGA-AO-A03N-01	Diploid	115.173	CDC25C: Diploid
TCGA-AO-A03P-01	Diploid	178.646	CDC25C: Diploid
TCGA-AO-A03R-01	Diploid	453.36	CDC25C: Diploid
TCGA-AO-A03T-01	Diploid	194.884	CDC25C: Diploid
TCGA-AO-A03U-01	Diploid	22.2765	CDC25C: Diploid
TCGA-AO-A03V-01	Diploid	79.2157	CDC25C: Diploid
TCGA-AO-A0J3-01	Diploid	165.727	CDC25C: Diploid
TCGA-AO-A0J8-01	Diploid	39.0806	CDC25C: Diploid
TCGA-AO-A0JA-01	Diploid	130.98	CDC25C: Diploid
TCGA-AO-A0JD-01	Diploid	272.791	CDC25C: Diploid
TCGA-AO-A0JE-01	Diploid	131.846	CDC25C: Diploid
TCGA-AO-A0JF-01	Diploid	27.2867	CDC25C: Diploid
TCGA-AO-A0JG-01	Diploid	10.7099	CDC25C: Diploid
TCGA-AO-A0JI-01	Diploid	127.225	CDC25C: Diploid
TCGA-AO-A0JJ-01	Diploid	164.21	CDC25C: Diploid
TCGA-AO-A125-01	Diploid	79.1024	CDC25C: Diploid
TCGA-AO-A126-01	Diploid	87.2311	CDC25C: Diploid
TCGA-AO-A128-01	Diploid	110.179	CDC25C: Diploid
TCGA-AO-A12D-01	Diploid	104.77	CDC25C: Diploid
TCGA-AO-A12G-01	Diploid	98.4	CDC25C: Diploid
TCGA-AO-A12H-01	Diploid	63.4973	CDC25C: Diploid
TCGA-AO-A1KO-01	Diploid	7.3603	CDC25C: Diploid
TCGA-AO-A1KP-01	Diploid	127.323	CDC25C: Diploid
TCGA-AO-A1KT-01	Diploid	195.731	CDC25C: Diploid
TCGA-AQ-A04H-01	Diploid	184.543	CDC25C: Diploid
TCGA-AQ-A1H2-01	Diploid	35.3738	CDC25C: Diploid
TCGA-AQ-A1H3-01	Diploid	68.9888	CDC25C: Diploid
TCGA-AQ-A54O-01	Diploid	63.7826	CDC25C: Diploid
TCGA-AQ-A7U7-01	Diploid	76.5199	CDC25C: Diploid
TCGA-AR-A0TQ-01	Diploid	220.58	CDC25C: Diploid
TCGA-AR-A0TS-01	Diploid	151.932	CDC25C: Diploid
TCGA-AR-A0TX-01	Diploid	110.998	CDC25C: Diploid
TCGA-AR-A0TY-01	Diploid	363.754	CDC25C: Diploid
TCGA-AR-A0TZ-01	Diploid	152.671	CDC25C: Diploid
TCGA-AR-A0U2-01	Diploid	438.189	CDC25C: Diploid
TCGA-AR-A0U3-01	Diploid	205.362	CDC25C: Diploid
TCGA-AR-A1AI-01	Diploid	244.044	CDC25C: Diploid
TCGA-AR-A1AL-01	Diploid	56.4999	CDC25C: Diploid
TCGA-AR-A1AO-01	Diploid	81.1499	CDC25C: Diploid
TCGA-AR-A1AP-01	Diploid	98.5155	CDC25C: Diploid
TCGA-AR-A1AS-01	Diploid	103.107	CDC25C: Diploid
TCGA-AR-A1AU-01	Diploid	73.0277	CDC25C: Diploid
TCGA-AR-A1AW-01	Diploid	66.591	CDC25C: Diploid
TCGA-AR-A1AX-01	Diploid	84.31	CDC25C: Diploid
TCGA-AR-A24H-01	Diploid	227.954	CDC25C: Diploid
TCGA-AR-A24M-01	Diploid	52.5126	CDC25C: Diploid
TCGA-AR-A24N-01	Diploid	127.6	CDC25C: Diploid
TCGA-AR-A24O-01	Diploid	78.4114	CDC25C: Diploid
TCGA-AR-A24P-01	Diploid	96.9188	CDC25C: Diploid
TCGA-AR-A24T-01	Diploid	20.9357	CDC25C: Diploid
TCGA-AR-A24X-01	Diploid	74.1676	CDC25C: Diploid
TCGA-AR-A252-01	Diploid	59.5556	CDC25C: Diploid
TCGA-AR-A254-01	Diploid	129.042	CDC25C: Diploid
TCGA-AR-A256-01	Diploid	261.265	CDC25C: Diploid
TCGA-AR-A2LE-01	Diploid	22.4551	CDC25C: Diploid
TCGA-AR-A2LH-01	Diploid	96.2145	CDC25C: Diploid
TCGA-AR-A2LM-01	Diploid	12.7825	CDC25C: Diploid
TCGA-AR-A2LN-01	Diploid	5.0118	CDC25C: Diploid
TCGA-AR-A2LO-01	Diploid	91.9363	CDC25C: Diploid
TCGA-AR-A2LQ-01	Diploid	40.7179	CDC25C: Diploid
TCGA-AR-A5QN-01	Diploid	73.917	CDC25C: Diploid
TCGA-AR-A5QQ-01	Diploid	175.36	CDC25C: Diploid
TCGA-B6-A0I1-01	Diploid	352.767	CDC25C: Diploid
TCGA-B6-A0I2-01	Diploid	71.7024	CDC25C: Diploid
TCGA-B6-A0I5-01	Diploid	52.6347	CDC25C: Diploid
TCGA-B6-A0I9-01	Diploid	226.577	CDC25C: Diploid
TCGA-B6-A0IA-01	Diploid	120.306	CDC25C: Diploid
TCGA-B6-A0IC-01	Diploid	67.0214	CDC25C: Diploid
TCGA-B6-A0IG-01	Diploid	204.056	CDC25C: Diploid
TCGA-B6-A0IH-01	Diploid	2.4842	CDC25C: Diploid
TCGA-B6-A0IK-01	Diploid	213.873	CDC25C: Diploid
TCGA-B6-A0IM-01	Diploid	118.666	CDC25C: Diploid
TCGA-B6-A0IN-01	Diploid	86.2902	CDC25C: Diploid
TCGA-B6-A0IP-01	Diploid	101.399	CDC25C: Diploid
TCGA-B6-A0IQ-01	Diploid	472.77	CDC25C: Diploid
TCGA-B6-A0RG-01	Diploid	260.169	CDC25C: Diploid
TCGA-B6-A0RH-01	Diploid	127.579	CDC25C: Diploid
TCGA-B6-A0RI-01	Diploid	139.955	CDC25C: Diploid
TCGA-B6-A0RL-01	Diploid	370.769	CDC25C: Diploid
TCGA-B6-A0RM-01	Diploid	96.7545	CDC25C: Diploid
TCGA-B6-A0RN-01	Diploid	12.3371	CDC25C: Diploid
TCGA-B6-A0RO-01	Diploid	50.8531	CDC25C: Diploid
TCGA-B6-A0RQ-01	Diploid	6.5013	CDC25C: Diploid
TCGA-B6-A0RT-01	Diploid	109.68	CDC25C: Diploid
TCGA-B6-A0RV-01	Diploid	109.274	CDC25C: Diploid
TCGA-B6-A0WS-01	Diploid	88.729	CDC25C: Diploid
TCGA-B6-A0WT-01	Diploid	98.8191	CDC25C: Diploid
TCGA-B6-A0WW-01	Diploid	89.7217	CDC25C: Diploid
TCGA-B6-A0WZ-01	Diploid	114.741	CDC25C: Diploid
TCGA-B6-A0X0-01	Diploid	77.8986	CDC25C: Diploid
TCGA-B6-A0X4-01	Diploid	15.3483	CDC25C: Diploid
TCGA-B6-A0X5-01	Diploid	320.168	CDC25C: Diploid
TCGA-B6-A0X7-01	Diploid	41.8812	CDC25C: Diploid
TCGA-B6-A1KC-01	Diploid	59.6422	CDC25C: Diploid
TCGA-B6-A1KN-01	Diploid	331.973	CDC25C: Diploid
TCGA-B6-A2IU-01	Diploid	196.262	CDC25C: Diploid
TCGA-B6-A401-01	Diploid	50.2942	CDC25C: Diploid
TCGA-B6-A40C-01	Diploid	111.403	CDC25C: Diploid
TCGA-BH-A0AW-01	Diploid	131.862	CDC25C: Diploid
TCGA-BH-A0AY-01	Diploid	129.509	CDC25C: Diploid
TCGA-BH-A0B0-01	Diploid	43.7836	CDC25C: Diploid
TCGA-BH-A0B9-01	Diploid	375.504	CDC25C: Diploid
TCGA-BH-A0BC-01	Diploid	201.701	CDC25C: Diploid
TCGA-BH-A0BD-01	Diploid	164.16	CDC25C: Diploid
TCGA-BH-A0BM-01	Diploid	7.6433	CDC25C: Diploid
TCGA-BH-A0BO-01	Diploid	8.7719	CDC25C: Diploid
TCGA-BH-A0BQ-01	Diploid	41.5323	CDC25C: Diploid
TCGA-BH-A0BR-01	Diploid	96.5665	CDC25C: Diploid
TCGA-BH-A0BS-01	Diploid	68.6198	CDC25C: Diploid
TCGA-BH-A0BV-01	Diploid	90.5602	CDC25C: Diploid
TCGA-BH-A0BZ-01	Diploid	152.162	CDC25C: Diploid
TCGA-BH-A0C3-01	Diploid	79.1032	CDC25C: Diploid
TCGA-BH-A0C7-01	Diploid	423.315	CDC25C: Diploid
TCGA-BH-A0DD-01	Diploid	246.499	CDC25C: Diploid
TCGA-BH-A0DE-01	Diploid	33.5363	CDC25C: Diploid
TCGA-BH-A0DG-01	Diploid	90.8852	CDC25C: Diploid
TCGA-BH-A0DH-01	Diploid	131.351	CDC25C: Diploid
TCGA-BH-A0DK-01	Diploid	143.564	CDC25C: Diploid
TCGA-BH-A0DL-01	Diploid	184.064	CDC25C: Diploid
TCGA-BH-A0DO-01	Diploid	8.0351	CDC25C: Diploid
TCGA-BH-A0DQ-01	Diploid	120.556	CDC25C: Diploid
TCGA-BH-A0DT-01	Diploid	37.1486	CDC25C: Diploid
TCGA-BH-A0DV-01	Diploid	11.9039	CDC25C: Diploid
TCGA-BH-A0DX-01	Diploid	241.533	CDC25C: Diploid
TCGA-BH-A0DZ-01	Diploid	311.864	CDC25C: Diploid
TCGA-BH-A0E1-01	Diploid	226.867	CDC25C: Diploid
TCGA-BH-A0E2-01	Diploid	233.124	CDC25C: Diploid
TCGA-BH-A0E7-01	Diploid	54.9568	CDC25C: Diploid
TCGA-BH-A0E9-01	Diploid	40.6972	CDC25C: Diploid
TCGA-BH-A0EA-01	Diploid	1.9141	CDC25C: Diploid
TCGA-BH-A0EI-01	Diploid	61.4137	CDC25C: Diploid
TCGA-BH-A0GY-01	Diploid	72.5879	CDC25C: Diploid
TCGA-BH-A0GZ-01	Diploid	104.481	CDC25C: Diploid
TCGA-BH-A0H0-01	Diploid	149.095	CDC25C: Diploid
TCGA-BH-A0H3-01	Diploid	15.8116	CDC25C: Diploid
TCGA-BH-A0H5-01	Diploid	39.517	CDC25C: Diploid
TCGA-BH-A0H6-01	Diploid	45.4177	CDC25C: Diploid
TCGA-BH-A0H9-01	Diploid	81.7124	CDC25C: Diploid
TCGA-BH-A0HA-01	Diploid	57.5206	CDC25C: Diploid
TCGA-BH-A0HB-01	Diploid	171.688	CDC25C: Diploid
TCGA-BH-A0HI-01	Diploid	53.0989	CDC25C: Diploid
TCGA-BH-A0HK-01	Diploid	52.687	CDC25C: Diploid
TCGA-BH-A0HO-01	Diploid	47.2313	CDC25C: Diploid
TCGA-BH-A0HP-01	Diploid	113.618	CDC25C: Diploid
TCGA-BH-A0HU-01	Diploid	264.136	CDC25C: Diploid
TCGA-BH-A0HW-01	Diploid	80.1273	CDC25C: Diploid
TCGA-BH-A0HY-01	Diploid	175.735	CDC25C: Diploid
TCGA-BH-A0RX-01	Diploid	104.169	CDC25C: Diploid
TCGA-BH-A0W3-01	Diploid	162.934	CDC25C: Diploid
TCGA-BH-A0W4-01	Diploid	65.9686	CDC25C: Diploid
TCGA-BH-A18F-01	Diploid	156.532	CDC25C: Diploid
TCGA-BH-A18G-01	Diploid	126.25	CDC25C: Diploid
TCGA-BH-A18I-01	Diploid	95.6324	CDC25C: Diploid
TCGA-BH-A18J-01	Diploid	65.6992	CDC25C: Diploid
TCGA-BH-A18P-01	Diploid	154.903	CDC25C: Diploid
TCGA-BH-A18Q-01	Diploid	219.036	CDC25C: Diploid
TCGA-BH-A18R-01	Diploid	190.193	CDC25C: Diploid
TCGA-BH-A18S-01	Diploid	11.4306	CDC25C: Diploid
TCGA-BH-A1ET-01	Diploid	20.8815	CDC25C: Diploid
TCGA-BH-A1EW-01	Diploid	67.5773	CDC25C: Diploid
TCGA-BH-A1EX-01	Diploid	38.0098	CDC25C: Diploid
TCGA-BH-A1EY-01	Diploid	20.4792	CDC25C: Diploid
TCGA-BH-A1F0-01	Diploid	103.456	CDC25C: Diploid
TCGA-BH-A1F5-01	Diploid	28.0029	CDC25C: Diploid
TCGA-BH-A1F8-01	Diploid	191.551	CDC25C: Diploid
TCGA-BH-A1FD-01	Diploid	111.372	CDC25C: Diploid
TCGA-BH-A1FG-01	Diploid	69.9199	CDC25C: Diploid
TCGA-BH-A1FH-01	Diploid	6.5021	CDC25C: Diploid
TCGA-BH-A1FJ-01	Diploid	244.878	CDC25C: Diploid
TCGA-BH-A1FL-01	Diploid	100.217	CDC25C: Diploid
TCGA-BH-A1FM-01	Diploid	185.954	CDC25C: Diploid
TCGA-BH-A1FN-01	Diploid	305.86	CDC25C: Diploid
TCGA-BH-A1FR-01	Diploid	49.9266	CDC25C: Diploid
TCGA-BH-A201-01	Diploid	88.6843	CDC25C: Diploid
TCGA-BH-A203-01	Diploid	176.734	CDC25C: Diploid
TCGA-BH-A204-01	Diploid	187.039	CDC25C: Diploid
TCGA-BH-A28Q-01	Diploid	14.8995	CDC25C: Diploid
TCGA-BH-A42U-01	Diploid	11.1716	CDC25C: Diploid
TCGA-BH-A42V-01	Diploid	25.0327	CDC25C: Diploid
TCGA-BH-A8G0-01	Diploid	7.6746	CDC25C: Diploid
TCGA-BH-AB28-01	Diploid	65.3766	CDC25C: Diploid
TCGA-C8-A12N-01	Diploid	43.9383	CDC25C: Diploid
TCGA-C8-A12O-01	Diploid	77.8629	CDC25C: Diploid
TCGA-C8-A12Q-01	Diploid	74.0384	CDC25C: Diploid
TCGA-C8-A12T-01	Diploid	312.011	CDC25C: Diploid
TCGA-C8-A12U-01	Diploid	419.996	CDC25C: Diploid
TCGA-C8-A12V-01	Diploid	95.7056	CDC25C: Diploid
TCGA-C8-A12W-01	Diploid	160.552	CDC25C: Diploid
TCGA-C8-A12X-01	Diploid	71.9424	CDC25C: Diploid
TCGA-C8-A12Y-01	Diploid	88.6495	CDC25C: Diploid
TCGA-C8-A12Z-01	Diploid	161.278	CDC25C: Diploid
TCGA-C8-A133-01	Diploid	22.4855	CDC25C: Diploid
TCGA-C8-A137-01	Diploid	144.981	CDC25C: Diploid
TCGA-C8-A1HE-01	Diploid	70.1989	CDC25C: Diploid
TCGA-C8-A1HK-01	Diploid	245.561	CDC25C: Diploid
TCGA-C8-A1HL-01	Diploid	443.469	CDC25C: Diploid
TCGA-C8-A1HN-01	Diploid	223.471	CDC25C: Diploid
TCGA-C8-A1HO-01	Diploid	131.715	CDC25C: Diploid
TCGA-C8-A26V-01	Diploid	147.224	CDC25C: Diploid
TCGA-C8-A26Z-01	Diploid	84.7559	CDC25C: Diploid
TCGA-C8-A273-01	Diploid	135.803	CDC25C: Diploid
TCGA-C8-A274-01	Diploid	80.4896	CDC25C: Diploid
TCGA-C8-A275-01	Diploid	208.885	CDC25C: Diploid
TCGA-C8-A3M8-01	Diploid	128.811	CDC25C: Diploid
TCGA-C8-A8HP-01	Diploid	147.052	CDC25C: Diploid
TCGA-C8-A8HQ-01	Diploid	190.003	CDC25C: Diploid
TCGA-D8-A13Y-01	Diploid	482.605	CDC25C: Diploid
TCGA-D8-A140-01	Diploid	69.0738	CDC25C: Diploid
TCGA-D8-A141-01	Diploid	29.2716	CDC25C: Diploid
TCGA-D8-A143-01	Diploid	375.284	CDC25C: Diploid
TCGA-D8-A145-01	Diploid	36.3196	CDC25C: Diploid
TCGA-D8-A147-01	Diploid	225.411	CDC25C: Diploid
TCGA-D8-A1J9-01	Diploid	98.6395	CDC25C: Diploid
TCGA-D8-A1JA-01	Diploid	63.6511	CDC25C: Diploid
TCGA-D8-A1JC-01	Diploid	183.894	CDC25C: Diploid
TCGA-D8-A1JD-01	Diploid	89.7266	CDC25C: Diploid
TCGA-D8-A1JI-01	Diploid	43.5947	CDC25C: Diploid
TCGA-D8-A1JL-01	Diploid	119.54	CDC25C: Diploid
TCGA-D8-A1JM-01	Diploid	318.932	CDC25C: Diploid
TCGA-D8-A1JN-01	Diploid	25.3901	CDC25C: Diploid
TCGA-D8-A1JS-01	Diploid	33.6026	CDC25C: Diploid
TCGA-D8-A1JU-01	Diploid	3.7488	CDC25C: Diploid
TCGA-D8-A1X5-01	Diploid	47.9983	CDC25C: Diploid
TCGA-D8-A1X7-01	Diploid	47.3903	CDC25C: Diploid
TCGA-D8-A1X8-01	Diploid	70.6613	CDC25C: Diploid
TCGA-D8-A1X9-01	Diploid	77.1468	CDC25C: Diploid
TCGA-D8-A1XC-01	Diploid	23.4721	CDC25C: Diploid
TCGA-D8-A1XG-01	Diploid	44.4792	CDC25C: Diploid
TCGA-D8-A1XJ-01	Diploid	292.898	CDC25C: Diploid
TCGA-D8-A1XK-01	Diploid	313.896	CDC25C: Diploid
TCGA-D8-A1XM-01	Diploid	90.1899	CDC25C: Diploid
TCGA-D8-A1XO-01	Diploid	68.5858	CDC25C: Diploid
TCGA-D8-A1XR-01	Diploid	103.006	CDC25C: Diploid
TCGA-D8-A1XV-01	Diploid	48.9438	CDC25C: Diploid
TCGA-D8-A1Y1-01	Diploid	158.258	CDC25C: Diploid
TCGA-D8-A27E-01	Diploid	7.1989	CDC25C: Diploid
TCGA-D8-A27G-01	Diploid	59.8899	CDC25C: Diploid
TCGA-D8-A27K-01	Diploid	26.7014	CDC25C: Diploid
TCGA-D8-A27L-01	Diploid	42.7836	CDC25C: Diploid
TCGA-D8-A27N-01	Diploid	106.927	CDC25C: Diploid
TCGA-D8-A27P-01	Diploid	32.7029	CDC25C: Diploid
TCGA-D8-A27R-01	Diploid	173.332	CDC25C: Diploid
TCGA-D8-A27T-01	Diploid	94.5197	CDC25C: Diploid
TCGA-D8-A3Z6-01	Diploid	22.6081	CDC25C: Diploid
TCGA-D8-A4Z1-01	Diploid	17.9697	CDC25C: Diploid
TCGA-D8-A73U-01	Diploid	13.6784	CDC25C: Diploid
TCGA-D8-A73W-01	Diploid	68.1438	CDC25C: Diploid
TCGA-E2-A105-01	Diploid	179.487	CDC25C: Diploid
TCGA-E2-A108-01	Diploid	28.5471	CDC25C: Diploid
TCGA-E2-A109-01	Diploid	185.684	CDC25C: Diploid
TCGA-E2-A10A-01	Diploid	120.909	CDC25C: Diploid
TCGA-E2-A10F-01	Diploid	58.1382	CDC25C: Diploid
TCGA-E2-A14P-01	Diploid	198.638	CDC25C: Diploid
TCGA-E2-A14Q-01	Diploid	130.767	CDC25C: Diploid
TCGA-E2-A14V-01	Diploid	251.837	CDC25C: Diploid
TCGA-E2-A14W-01	Diploid	150.46	CDC25C: Diploid
TCGA-E2-A14X-01	Diploid	194.725	CDC25C: Diploid
TCGA-E2-A14Y-01	Diploid	184.754	CDC25C: Diploid
TCGA-E2-A14Z-01	Diploid	133.632	CDC25C: Diploid
TCGA-E2-A154-01	Diploid	52.6839	CDC25C: Diploid
TCGA-E2-A156-01	Diploid	30.8686	CDC25C: Diploid
TCGA-E2-A15C-01	Diploid	40	CDC25C: Diploid
TCGA-E2-A15D-01	Diploid	15.0613	CDC25C: Diploid
TCGA-E2-A15F-01	Diploid	113.658	CDC25C: Diploid
TCGA-E2-A15H-01	Diploid	154.527	CDC25C: Diploid
TCGA-E2-A15I-01	Diploid	11.6571	CDC25C: Diploid
TCGA-E2-A15J-01	Diploid	76.3286	CDC25C: Diploid
TCGA-E2-A15K-01	Diploid	180.656	CDC25C: Diploid
TCGA-E2-A15L-01	Diploid	141.319	CDC25C: Diploid
TCGA-E2-A15M-01	Diploid	146.246	CDC25C: Diploid
TCGA-E2-A15O-01	Diploid	136.809	CDC25C: Diploid
TCGA-E2-A15P-01	Diploid	40.5141	CDC25C: Diploid
TCGA-E2-A15R-01	Diploid	81.1369	CDC25C: Diploid
TCGA-E2-A15S-01	Diploid	323.796	CDC25C: Diploid
TCGA-E2-A15T-01	Diploid	119.834	CDC25C: Diploid
TCGA-E2-A1B1-01	Diploid	58.7204	CDC25C: Diploid
TCGA-E2-A1B4-01	Diploid	11.8961	CDC25C: Diploid
TCGA-E2-A1B6-01	Diploid	126.734	CDC25C: Diploid
TCGA-E2-A1BC-01	Diploid	2.3866	CDC25C: Diploid
TCGA-E2-A1IE-01	Diploid	164.689	CDC25C: Diploid
TCGA-E2-A1IF-01	Diploid	102.775	CDC25C: Diploid
TCGA-E2-A1IG-01	Diploid	60.0893	CDC25C: Diploid
TCGA-E2-A1IJ-01	Diploid	28.9082	CDC25C: Diploid
TCGA-E2-A1IK-01	Diploid	51.1111	CDC25C: Diploid
TCGA-E2-A1IL-01	Diploid	14.2153	CDC25C: Diploid
TCGA-E2-A1L8-01	Diploid	65.0627	CDC25C: Diploid
TCGA-E2-A1LB-01	Diploid	122.206	CDC25C: Diploid
TCGA-E2-A2P6-01	Diploid	155.785	CDC25C: Diploid
TCGA-E2-A570-01	Diploid	67.4157	CDC25C: Diploid
TCGA-E2-A576-01	Diploid	208.066	CDC25C: Diploid
TCGA-E9-A1N3-01	Diploid	77.3074	CDC25C: Diploid
TCGA-E9-A1N4-01	Diploid	80.6784	CDC25C: Diploid
TCGA-E9-A1N5-01	Diploid	83.3121	CDC25C: Diploid
TCGA-E9-A1N9-01	Diploid	105.038	CDC25C: Diploid
TCGA-E9-A1NA-01	Diploid	116.274	CDC25C: Diploid
TCGA-E9-A1NE-01	Diploid	82.7687	CDC25C: Diploid
TCGA-E9-A1NF-01	Diploid	89.7895	CDC25C: Diploid
TCGA-E9-A1NG-01	Diploid	37.1498	CDC25C: Diploid
TCGA-E9-A1NH-01	Diploid	25.4919	CDC25C: Diploid
TCGA-E9-A1QZ-01	Diploid	137.932	CDC25C: Diploid
TCGA-E9-A1R0-01	Diploid	119.077	CDC25C: Diploid
TCGA-E9-A1R2-01	Diploid	95.2254	CDC25C: Diploid
TCGA-E9-A1R7-01	Diploid	131.246	CDC25C: Diploid
TCGA-E9-A1RA-01	Diploid	40.4896	CDC25C: Diploid
TCGA-E9-A1RE-01	Diploid	101.517	CDC25C: Diploid
TCGA-E9-A1RF-01	Diploid	103.079	CDC25C: Diploid
TCGA-E9-A1RI-01	Diploid	18.9712	CDC25C: Diploid
TCGA-E9-A226-01	Diploid	77.5219	CDC25C: Diploid
TCGA-E9-A227-01	Diploid	62.7353	CDC25C: Diploid
TCGA-E9-A228-01	Diploid	420.085	CDC25C: Diploid
TCGA-E9-A229-01	Diploid	106.377	CDC25C: Diploid
TCGA-E9-A22B-01	Diploid	77.2968	CDC25C: Diploid
TCGA-E9-A22E-01	Diploid	94.7211	CDC25C: Diploid
TCGA-E9-A22H-01	Diploid	192.904	CDC25C: Diploid
TCGA-E9-A243-01	Diploid	114.121	CDC25C: Diploid
TCGA-E9-A245-01	Diploid	54.3543	CDC25C: Diploid
TCGA-E9-A247-01	Diploid	201.155	CDC25C: Diploid
TCGA-E9-A248-01	Diploid	230.819	CDC25C: Diploid
TCGA-E9-A24A-01	Diploid	38.9922	CDC25C: Diploid
TCGA-E9-A2JT-01	Diploid	49.5822	CDC25C: Diploid
TCGA-E9-A3HO-01	Diploid	316.674	CDC25C: Diploid
TCGA-E9-A3X8-01	Diploid	43.989	CDC25C: Diploid
TCGA-E9-A54Y-01	Diploid	456.754	CDC25C: Diploid
TCGA-E9-A5FK-01	Diploid	27.3253	CDC25C: Diploid
TCGA-E9-A5UO-01	Diploid	101.032	CDC25C: Diploid
TCGA-E9-A6HE-01	Diploid	144.555	CDC25C: Diploid
TCGA-EW-A1IW-01	Diploid	106.862	CDC25C: Diploid
TCGA-EW-A1IX-01	Diploid	15.3814	CDC25C: Diploid
TCGA-EW-A1IZ-01	Diploid	141.101	CDC25C: Diploid
TCGA-EW-A1J1-01	Diploid	77.6388	CDC25C: Diploid
TCGA-EW-A1J2-01	Diploid	12.0545	CDC25C: Diploid
TCGA-EW-A1J5-01	Diploid	96.3184	CDC25C: Diploid
TCGA-EW-A1OX-01	Diploid	35.7599	CDC25C: Diploid
TCGA-EW-A1OY-01	Diploid	202.067	CDC25C: Diploid
TCGA-EW-A1OZ-01	Diploid	126.218	CDC25C: Diploid
TCGA-EW-A1P1-01	Diploid	22.8195	CDC25C: Diploid
TCGA-EW-A1P3-01	Diploid	104.794	CDC25C: Diploid
TCGA-EW-A1P6-01	Diploid	99.4841	CDC25C: Diploid
TCGA-EW-A1P7-01	Diploid	31.0472	CDC25C: Diploid
TCGA-EW-A1PB-01	Diploid	153.295	CDC25C: Diploid
TCGA-EW-A1PD-01	Diploid	164.742	CDC25C: Diploid
TCGA-EW-A1PE-01	Diploid	50.5444	CDC25C: Diploid
TCGA-EW-A1PG-01	Diploid	10.5028	CDC25C: Diploid
TCGA-EW-A2FR-01	Diploid	81.2897	CDC25C: Diploid
TCGA-EW-A2FS-01	Diploid	142.01	CDC25C: Diploid
TCGA-EW-A2FW-01	Diploid	394.12	CDC25C: Diploid
TCGA-EW-A6SC-01	Diploid	140.642	CDC25C: Diploid
TCGA-GM-A2D9-01	Diploid	39.0456	CDC25C: Diploid
TCGA-GM-A2DA-01	Diploid	114.007	CDC25C: Diploid
TCGA-GM-A2DB-01	Diploid	127.517	CDC25C: Diploid
