Sample Id	CDK1: Putative copy-number alterations from GISTIC	CDK1: mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)	Copy Number Alterations
TCGA-AC-A6IX-01	Diploid	438.976	CDK1: Diploid
TCGA-AC-A6NO-01	Diploid	726.769	CDK1: Diploid
TCGA-AC-A7VB-01	Diploid	1424.35	CDK1: Diploid
TCGA-AC-A8OP-01	Diploid	957.173	CDK1: Diploid
TCGA-AC-A8OR-01	Diploid	223.814	CDK1: Diploid
TCGA-AC-A8OS-01	Diploid	394.644	CDK1: Diploid
TCGA-AN-A03X-01	Diploid	230.904	CDK1: Diploid
TCGA-AN-A03Y-01	Diploid	1200.43	CDK1: Diploid
TCGA-AN-A041-01	Diploid	536.521	CDK1: Diploid
TCGA-AN-A046-01	Diploid	408.936	CDK1: Diploid
TCGA-AN-A049-01	Diploid	913.211	CDK1: Diploid
TCGA-AN-A04A-01	Diploid	456.933	CDK1: Diploid
TCGA-AN-A04D-01	Diploid	2435.07	CDK1: Diploid
TCGA-AN-A0AL-01	Diploid	1559.18	CDK1: Diploid
TCGA-AN-A0AM-01	Diploid	1088.22	CDK1: Diploid
TCGA-AN-A0FD-01	Diploid	979.304	CDK1: Diploid
TCGA-AN-A0FF-01	Diploid	1229.04	CDK1: Diploid
TCGA-AN-A0FJ-01	Diploid	1566.63	CDK1: Diploid
TCGA-AN-A0FK-01	Diploid	719.084	CDK1: Diploid
TCGA-AN-A0FL-01	Diploid	844.311	CDK1: Diploid
TCGA-AN-A0FN-01	Diploid	494.263	CDK1: Diploid
TCGA-AN-A0FS-01	Diploid	424.171	CDK1: Diploid
TCGA-AN-A0FT-01	Diploid	708.265	CDK1: Diploid
TCGA-AN-A0FX-01	Diploid	959.809	CDK1: Diploid
TCGA-AN-A0FY-01	Diploid	1635.6	CDK1: Diploid
TCGA-AN-A0XL-01	Diploid	554.664	CDK1: Diploid
TCGA-AN-A0XN-01	Diploid	506.6	CDK1: Diploid
TCGA-AN-A0XO-01	Diploid	567.977	CDK1: Diploid
TCGA-AN-A0XR-01	Diploid	1434.06	CDK1: Diploid
TCGA-AN-A0XT-01	Diploid	390.423	CDK1: Diploid
TCGA-AN-A0XV-01	Diploid	761.506	CDK1: Diploid
TCGA-AN-A0XW-01	Diploid	1583.35	CDK1: Diploid
TCGA-AO-A03L-01	Diploid	1507.07	CDK1: Diploid
TCGA-AO-A03R-01	Diploid	2500.42	CDK1: Diploid
TCGA-AO-A03T-01	Diploid	1134.85	CDK1: Diploid
TCGA-AO-A0J4-01	Diploid	968.708	CDK1: Diploid
TCGA-AO-A0J5-01	Diploid	398.654	CDK1: Diploid
TCGA-AO-A0J6-01	Diploid	1225.76	CDK1: Diploid
TCGA-AO-A0J7-01	Diploid	1786.97	CDK1: Diploid
TCGA-AO-A0J8-01	Diploid	343.458	CDK1: Diploid
TCGA-AO-A0JB-01	Diploid	816.689	CDK1: Diploid
TCGA-AO-A0JC-01	Diploid	593.257	CDK1: Diploid
TCGA-AO-A0JE-01	Diploid	677.079	CDK1: Diploid
TCGA-AO-A0JF-01	Diploid	425.826	CDK1: Diploid
TCGA-AO-A0JG-01	Diploid	129.437	CDK1: Diploid
TCGA-AO-A0JI-01	Diploid	1115.87	CDK1: Diploid
TCGA-AO-A0JJ-01	Diploid	796.543	CDK1: Diploid
TCGA-AO-A0JM-01	Diploid	1044.66	CDK1: Diploid
TCGA-AO-A125-01	Diploid	591.887	CDK1: Diploid
TCGA-AO-A126-01	Diploid	528.518	CDK1: Diploid
TCGA-AO-A129-01	Diploid	1700.77	CDK1: Diploid
TCGA-AO-A12B-01	Diploid	640.237	CDK1: Diploid
TCGA-AO-A12D-01	Diploid	921.302	CDK1: Diploid
TCGA-AO-A12E-01	Diploid	895.355	CDK1: Diploid
TCGA-AO-A12G-01	Diploid	679.2	CDK1: Diploid
TCGA-AO-A12H-01	Diploid	1007.07	CDK1: Diploid
TCGA-AO-A1KO-01	Diploid	92.6731	CDK1: Diploid
TCGA-AO-A1KP-01	Diploid	1616.4	CDK1: Diploid
TCGA-AO-A1KT-01	Diploid	1281.72	CDK1: Diploid
TCGA-AQ-A04H-01	Diploid	1129.3	CDK1: Diploid
TCGA-AQ-A0Y5-01	Diploid	293.707	CDK1: Diploid
TCGA-AQ-A1H2-01	Diploid	208.48	CDK1: Diploid
TCGA-AQ-A1H3-01	Diploid	554.995	CDK1: Diploid
TCGA-AR-A0TP-01	Diploid	1424.69	CDK1: Diploid
TCGA-AR-A0TQ-01	Diploid	2058.84	CDK1: Diploid
TCGA-AR-A0TV-01	Diploid	1422.2	CDK1: Diploid
TCGA-AR-A0TX-01	Diploid	983.08	CDK1: Diploid
TCGA-AR-A0TY-01	Diploid	2071.59	CDK1: Diploid
TCGA-AR-A0TZ-01	Diploid	1357.26	CDK1: Diploid
TCGA-AR-A0U0-01	Diploid	1150.29	CDK1: Diploid
TCGA-AR-A0U1-01	Diploid	1513.47	CDK1: Diploid
TCGA-AR-A0U3-01	Diploid	1969.77	CDK1: Diploid
TCGA-AR-A1AH-01	Diploid	2215.5	CDK1: Diploid
TCGA-AR-A1AI-01	Diploid	1349.56	CDK1: Diploid
TCGA-AR-A1AK-01	Diploid	428.628	CDK1: Diploid
TCGA-AR-A1AL-01	Diploid	551.911	CDK1: Diploid
TCGA-AR-A1AN-01	Diploid	415.169	CDK1: Diploid
TCGA-AR-A1AO-01	Diploid	426.776	CDK1: Diploid
TCGA-AR-A1AP-01	Diploid	609.087	CDK1: Diploid
TCGA-AR-A1AR-01	Diploid	2737.27	CDK1: Diploid
TCGA-AR-A1AS-01	Diploid	546.15	CDK1: Diploid
TCGA-AR-A1AU-01	Diploid	589.868	CDK1: Diploid
TCGA-AR-A1AV-01	Diploid	449.377	CDK1: Diploid
TCGA-AR-A1AX-01	Diploid	663.894	CDK1: Diploid
TCGA-AR-A24M-01	Diploid	412.998	CDK1: Diploid
TCGA-AR-A24N-01	Diploid	1161.84	CDK1: Diploid
TCGA-AR-A24O-01	Diploid	820.774	CDK1: Diploid
TCGA-AR-A24P-01	Diploid	908.723	CDK1: Diploid
TCGA-AR-A24Q-01	Diploid	1097.23	CDK1: Diploid
TCGA-AR-A24T-01	Diploid	216.765	CDK1: Diploid
TCGA-AR-A24X-01	Diploid	628.214	CDK1: Diploid
TCGA-AR-A24Z-01	Diploid	1166.53	CDK1: Diploid
TCGA-AR-A251-01	Diploid	1785.59	CDK1: Diploid
TCGA-AR-A252-01	Diploid	490.074	CDK1: Diploid
TCGA-AR-A255-01	Diploid	963.997	CDK1: Diploid
TCGA-AR-A2LE-01	Diploid	384.731	CDK1: Diploid
TCGA-AR-A2LH-01	Diploid	809.148	CDK1: Diploid
TCGA-AR-A2LM-01	Diploid	370.996	CDK1: Diploid
TCGA-AR-A2LN-01	Diploid	128.494	CDK1: Diploid
TCGA-AR-A2LQ-01	Diploid	307.022	CDK1: Diploid
TCGA-AR-A5QM-01	Diploid	462.988	CDK1: Diploid
TCGA-AR-A5QN-01	Diploid	523.781	CDK1: Diploid
TCGA-AR-A5QP-01	Diploid	592.221	CDK1: Diploid
TCGA-B6-A0I1-01	Diploid	1242.16	CDK1: Diploid
TCGA-B6-A0I2-01	Diploid	873.957	CDK1: Diploid
TCGA-B6-A0I5-01	Diploid	575.062	CDK1: Diploid
TCGA-B6-A0I9-01	Diploid	1732.95	CDK1: Diploid
TCGA-B6-A0IA-01	Diploid	1577.01	CDK1: Diploid
TCGA-B6-A0IC-01	Diploid	603.891	CDK1: Diploid
TCGA-B6-A0IG-01	Diploid	1256.61	CDK1: Diploid
TCGA-B6-A0IM-01	Diploid	826.898	CDK1: Diploid
TCGA-B6-A0IN-01	Diploid	670.046	CDK1: Diploid
TCGA-B6-A0IP-01	Diploid	754.047	CDK1: Diploid
TCGA-B6-A0RG-01	Diploid	852.662	CDK1: Diploid
TCGA-B6-A0RH-01	Diploid	1288.86	CDK1: Diploid
TCGA-B6-A0RI-01	Diploid	920.026	CDK1: Diploid
TCGA-B6-A0RM-01	Diploid	696.076	CDK1: Diploid
TCGA-B6-A0RN-01	Diploid	231.115	CDK1: Diploid
TCGA-B6-A0RP-01	Diploid	203.346	CDK1: Diploid
TCGA-B6-A0RQ-01	Diploid	98.758	CDK1: Diploid
TCGA-B6-A0RT-01	Diploid	988.714	CDK1: Diploid
TCGA-B6-A0RV-01	Diploid	737.097	CDK1: Diploid
TCGA-B6-A0WS-01	Diploid	431.655	CDK1: Diploid
TCGA-B6-A0WT-01	Diploid	599.751	CDK1: Diploid
TCGA-B6-A0WW-01	Diploid	989.211	CDK1: Diploid
TCGA-B6-A0WX-01	Diploid	1011.03	CDK1: Diploid
TCGA-B6-A0WY-01	Diploid	423.816	CDK1: Diploid
TCGA-B6-A0WZ-01	Diploid	707.99	CDK1: Diploid
TCGA-B6-A0X0-01	Diploid	420.894	CDK1: Diploid
TCGA-B6-A0X1-01	Diploid	1628.48	CDK1: Diploid
TCGA-B6-A0X4-01	Diploid	274.498	CDK1: Diploid
TCGA-B6-A0X5-01	Diploid	2343.07	CDK1: Diploid
TCGA-B6-A0X7-01	Diploid	295.228	CDK1: Diploid
TCGA-B6-A1KF-01	Diploid	2205.75	CDK1: Diploid
TCGA-B6-A2IU-01	Diploid	1073.33	CDK1: Diploid
TCGA-B6-A401-01	Diploid	456.038	CDK1: Diploid
TCGA-B6-A40B-01	Diploid	800.84	CDK1: Diploid
TCGA-B6-A40C-01	Diploid	846.481	CDK1: Diploid
TCGA-BH-A0AW-01	Diploid	1471.42	CDK1: Diploid
TCGA-BH-A0AZ-01	Diploid	422.616	CDK1: Diploid
TCGA-BH-A0B0-01	Diploid	598.926	CDK1: Diploid
TCGA-BH-A0B4-01	Diploid	1006.53	CDK1: Diploid
TCGA-BH-A0B5-01	Diploid	1846.9	CDK1: Diploid
TCGA-BH-A0B7-01	Diploid	748.749	CDK1: Diploid
TCGA-BH-A0B9-01	Diploid	1718.54	CDK1: Diploid
TCGA-BH-A0BC-01	Diploid	919.085	CDK1: Diploid
TCGA-BH-A0BD-01	Diploid	1454.55	CDK1: Diploid
TCGA-BH-A0BF-01	Diploid	868.728	CDK1: Diploid
TCGA-BH-A0BG-01	Diploid	835.023	CDK1: Diploid
TCGA-BH-A0BM-01	Diploid	123.567	CDK1: Diploid
TCGA-BH-A0BO-01	Diploid	164.393	CDK1: Diploid
TCGA-BH-A0BP-01	Diploid	410.231	CDK1: Diploid
TCGA-BH-A0BQ-01	Diploid	398.056	CDK1: Diploid
TCGA-BH-A0BS-01	Diploid	776.504	CDK1: Diploid
TCGA-BH-A0BW-01	Diploid	1077.38	CDK1: Diploid
TCGA-BH-A0C3-01	Diploid	576.142	CDK1: Diploid
TCGA-BH-A0C7-01	Diploid	4019.02	CDK1: Diploid
TCGA-BH-A0DD-01	Diploid	2315.13	CDK1: Diploid
TCGA-BH-A0DE-01	Diploid	375.686	CDK1: Diploid
TCGA-BH-A0DG-01	Diploid	504.038	CDK1: Diploid
TCGA-BH-A0DH-01	Diploid	683.478	CDK1: Diploid
TCGA-BH-A0DI-01	Diploid	234.037	CDK1: Diploid
TCGA-BH-A0DK-01	Diploid	631.863	CDK1: Diploid
TCGA-BH-A0DL-01	Diploid	1100.99	CDK1: Diploid
TCGA-BH-A0DO-01	Diploid	210.738	CDK1: Diploid
TCGA-BH-A0DP-01	Diploid	491.213	CDK1: Diploid
TCGA-BH-A0DQ-01	Diploid	873.314	CDK1: Diploid
TCGA-BH-A0DV-01	Diploid	196.712	CDK1: Diploid
TCGA-BH-A0DX-01	Diploid	816.896	CDK1: Diploid
TCGA-BH-A0DZ-01	Diploid	1768.64	CDK1: Diploid
TCGA-BH-A0E0-01	Diploid	1400.37	CDK1: Diploid
TCGA-BH-A0E1-01	Diploid	1736.54	CDK1: Diploid
TCGA-BH-A0E2-01	Diploid	2264.91	CDK1: Diploid
TCGA-BH-A0E9-01	Diploid	515.615	CDK1: Diploid
TCGA-BH-A0EI-01	Diploid	470.066	CDK1: Diploid
TCGA-BH-A0GY-01	Diploid	781.785	CDK1: Diploid
TCGA-BH-A0GZ-01	Diploid	1248.02	CDK1: Diploid
TCGA-BH-A0H0-01	Diploid	1467.54	CDK1: Diploid
TCGA-BH-A0H3-01	Diploid	236.205	CDK1: Diploid
TCGA-BH-A0H5-01	Diploid	393.251	CDK1: Diploid
TCGA-BH-A0H6-01	Diploid	309.813	CDK1: Diploid
TCGA-BH-A0HB-01	Diploid	1517.46	CDK1: Diploid
TCGA-BH-A0HI-01	Diploid	446.593	CDK1: Diploid
TCGA-BH-A0HK-01	Diploid	522.129	CDK1: Diploid
TCGA-BH-A0HO-01	Diploid	711.256	CDK1: Diploid
TCGA-BH-A0HQ-01	Diploid	367.547	CDK1: Diploid
TCGA-BH-A0HX-01	Diploid	792.298	CDK1: Diploid
TCGA-BH-A0W3-01	Diploid	1710.14	CDK1: Diploid
TCGA-BH-A0W4-01	Diploid	645.915	CDK1: Diploid
TCGA-BH-A0W5-01	Diploid	374.901	CDK1: Diploid
TCGA-BH-A0W7-01	Diploid	882.98	CDK1: Diploid
TCGA-BH-A18F-01	Diploid	1560.22	CDK1: Diploid
TCGA-BH-A18G-01	Diploid	1100	CDK1: Diploid
TCGA-BH-A18J-01	Diploid	839.412	CDK1: Diploid
TCGA-BH-A18K-01	Diploid	1165.12	CDK1: Diploid
TCGA-BH-A18M-01	Diploid	543.622	CDK1: Diploid
TCGA-BH-A18N-01	Diploid	322.924	CDK1: Diploid
TCGA-BH-A18P-01	Diploid	1050.63	CDK1: Diploid
TCGA-BH-A18Q-01	Diploid	1504.18	CDK1: Diploid
TCGA-BH-A18R-01	Diploid	1826.15	CDK1: Diploid
TCGA-BH-A18S-01	Diploid	202.812	CDK1: Diploid
TCGA-BH-A1ET-01	Diploid	243.69	CDK1: Diploid
TCGA-BH-A1EW-01	Diploid	764.917	CDK1: Diploid
TCGA-BH-A1EX-01	Diploid	375.376	CDK1: Diploid
TCGA-BH-A1F0-01	Diploid	921.174	CDK1: Diploid
TCGA-BH-A1F2-01	Diploid	2043.43	CDK1: Diploid
TCGA-BH-A1F5-01	Diploid	660.28	CDK1: Diploid
TCGA-BH-A1F8-01	Diploid	1946.18	CDK1: Diploid
TCGA-BH-A1FD-01	Diploid	1110.21	CDK1: Diploid
TCGA-BH-A1FE-01	Diploid	1008.15	CDK1: Diploid
TCGA-BH-A1FG-01	Diploid	532.775	CDK1: Diploid
TCGA-BH-A1FJ-01	Diploid	1656.55	CDK1: Diploid
TCGA-BH-A1FL-01	Diploid	680.647	CDK1: Diploid
TCGA-BH-A1FR-01	Diploid	823.299	CDK1: Diploid
TCGA-BH-A1FU-01	Diploid	885.665	CDK1: Diploid
TCGA-BH-A201-01	Diploid	698.427	CDK1: Diploid
TCGA-BH-A203-01	Diploid	2839.58	CDK1: Diploid
TCGA-BH-A204-01	Diploid	1890.82	CDK1: Diploid
TCGA-BH-A209-01	Diploid	1712.05	CDK1: Diploid
TCGA-BH-A28Q-01	Diploid	379.494	CDK1: Diploid
TCGA-BH-A2L8-01	Diploid	805.114	CDK1: Diploid
TCGA-BH-A42U-01	Diploid	180.548	CDK1: Diploid
TCGA-BH-A42V-01	Diploid	216.562	CDK1: Diploid
TCGA-BH-A5IZ-01	Diploid	1636.14	CDK1: Diploid
TCGA-BH-A5J0-01	Diploid	664.504	CDK1: Diploid
TCGA-BH-A6R8-01	Diploid	313.928	CDK1: Diploid
TCGA-BH-A6R9-01	Diploid	350.163	CDK1: Diploid
TCGA-BH-A8FY-01	Diploid	951.324	CDK1: Diploid
TCGA-BH-A8FZ-01	Diploid	308.306	CDK1: Diploid
TCGA-BH-A8G0-01	Diploid	130.468	CDK1: Diploid
TCGA-BH-AB28-01	Diploid	411.319	CDK1: Diploid
TCGA-C8-A12K-01	Diploid	1849.48	CDK1: Diploid
TCGA-C8-A12N-01	Diploid	341.026	CDK1: Diploid
TCGA-C8-A12Q-01	Diploid	599.448	CDK1: Diploid
TCGA-C8-A12V-01	Diploid	518.248	CDK1: Diploid
TCGA-C8-A12X-01	Diploid	431.655	CDK1: Diploid
TCGA-C8-A12Y-01	Diploid	560.895	CDK1: Diploid
TCGA-C8-A12Z-01	Diploid	1474.62	CDK1: Diploid
TCGA-C8-A131-01	Diploid	1538.02	CDK1: Diploid
TCGA-C8-A133-01	Diploid	296.279	CDK1: Diploid
TCGA-C8-A134-01	Diploid	2399.2	CDK1: Diploid
TCGA-C8-A135-01	Diploid	1411.52	CDK1: Diploid
TCGA-C8-A137-01	Diploid	1643.12	CDK1: Diploid
TCGA-C8-A1HE-01	Diploid	504.253	CDK1: Diploid
TCGA-C8-A1HF-01	Diploid	2736.26	CDK1: Diploid
TCGA-C8-A1HG-01	Diploid	1885.63	CDK1: Diploid
TCGA-C8-A1HL-01	Diploid	2556.01	CDK1: Diploid
TCGA-C8-A1HO-01	Diploid	775.139	CDK1: Diploid
TCGA-C8-A26W-01	Diploid	2316.17	CDK1: Diploid
TCGA-C8-A26Z-01	Diploid	773.585	CDK1: Diploid
TCGA-C8-A273-01	Diploid	857.017	CDK1: Diploid
TCGA-C8-A275-01	Diploid	3253.9	CDK1: Diploid
TCGA-C8-A278-01	Diploid	1574.54	CDK1: Diploid
TCGA-C8-A27B-01	Diploid	2192.9	CDK1: Diploid
TCGA-C8-A3M7-01	Diploid	765.092	CDK1: Diploid
TCGA-C8-A3M8-01	Diploid	617.333	CDK1: Diploid
TCGA-C8-A8HQ-01	Diploid	1580.34	CDK1: Diploid
TCGA-C8-A8HR-01	Diploid	852.123	CDK1: Diploid
TCGA-D8-A13Y-01	Diploid	3106.95	CDK1: Diploid
TCGA-D8-A140-01	Diploid	712.323	CDK1: Diploid
TCGA-D8-A141-01	Diploid	335.262	CDK1: Diploid
TCGA-D8-A143-01	Diploid	1839.63	CDK1: Diploid
TCGA-D8-A145-01	Diploid	287.732	CDK1: Diploid
TCGA-D8-A1JA-01	Diploid	697.725	CDK1: Diploid
TCGA-D8-A1JC-01	Diploid	1508.08	CDK1: Diploid
TCGA-D8-A1JH-01	Diploid	251.322	CDK1: Diploid
TCGA-D8-A1JI-01	Diploid	574.061	CDK1: Diploid
TCGA-D8-A1JJ-01	Diploid	1405.4	CDK1: Diploid
TCGA-D8-A1JL-01	Diploid	1252.34	CDK1: Diploid
TCGA-D8-A1JM-01	Diploid	3008.21	CDK1: Diploid
TCGA-D8-A1JN-01	Diploid	167.886	CDK1: Diploid
TCGA-D8-A1JP-01	Diploid	1118.16	CDK1: Diploid
TCGA-D8-A1JS-01	Diploid	264.943	CDK1: Diploid
TCGA-D8-A1JT-01	Diploid	1277.55	CDK1: Diploid
TCGA-D8-A1JU-01	Diploid	88.4099	CDK1: Diploid
TCGA-D8-A1X6-01	Diploid	979.917	CDK1: Diploid
TCGA-D8-A1X7-01	Diploid	461.549	CDK1: Diploid
TCGA-D8-A1X8-01	Diploid	654.412	CDK1: Diploid
TCGA-D8-A1X9-01	Diploid	688.504	CDK1: Diploid
TCGA-D8-A1XA-01	Diploid	634.483	CDK1: Diploid
TCGA-D8-A1XC-01	Diploid	404.783	CDK1: Diploid
TCGA-D8-A1XG-01	Diploid	502.808	CDK1: Diploid
TCGA-D8-A1XK-01	Diploid	2886.43	CDK1: Diploid
TCGA-D8-A1XL-01	Diploid	1111.61	CDK1: Diploid
TCGA-D8-A1XM-01	Diploid	627.637	CDK1: Diploid
TCGA-D8-A1XO-01	Diploid	412.909	CDK1: Diploid
TCGA-D8-A1XR-01	Diploid	929.558	CDK1: Diploid
TCGA-D8-A1XS-01	Diploid	1178.73	CDK1: Diploid
TCGA-D8-A1XT-01	Diploid	905.615	CDK1: Diploid
TCGA-D8-A1XW-01	Diploid	602.513	CDK1: Diploid
TCGA-D8-A1XY-01	Diploid	153.338	CDK1: Diploid
TCGA-D8-A1Y0-01	Diploid	1342.73	CDK1: Diploid
TCGA-D8-A1Y1-01	Diploid	1266.06	CDK1: Diploid
TCGA-D8-A1Y2-01	Diploid	461.464	CDK1: Diploid
TCGA-D8-A1Y3-01	Diploid	1369.94	CDK1: Diploid
TCGA-D8-A27E-01	Diploid	117.774	CDK1: Diploid
TCGA-D8-A27G-01	Diploid	786.015	CDK1: Diploid
TCGA-D8-A27K-01	Diploid	511.234	CDK1: Diploid
TCGA-D8-A27L-01	Diploid	561.874	CDK1: Diploid
TCGA-D8-A27M-01	Diploid	941.81	CDK1: Diploid
TCGA-D8-A27N-01	Diploid	687.246	CDK1: Diploid
TCGA-D8-A27P-01	Diploid	326.635	CDK1: Diploid
TCGA-D8-A27R-01	Diploid	1073.66	CDK1: Diploid
TCGA-D8-A27V-01	Diploid	347.106	CDK1: Diploid
TCGA-D8-A27W-01	Diploid	923.436	CDK1: Diploid
TCGA-D8-A4Z1-01	Diploid	157.061	CDK1: Diploid
TCGA-D8-A73U-01	Diploid	129.41	CDK1: Diploid
TCGA-D8-A73W-01	Diploid	405.518	CDK1: Diploid
TCGA-D8-A73X-01	Diploid	401.83	CDK1: Diploid
TCGA-E2-A105-01	Diploid	831.09	CDK1: Diploid
TCGA-E2-A108-01	Diploid	795.86	CDK1: Diploid
TCGA-E2-A109-01	Diploid	1574.13	CDK1: Diploid
TCGA-E2-A10A-01	Diploid	1408.24	CDK1: Diploid
TCGA-E2-A10B-01	Diploid	751.351	CDK1: Diploid
TCGA-E2-A10F-01	Diploid	619.744	CDK1: Diploid
TCGA-E2-A14P-01	Diploid	1303.96	CDK1: Diploid
TCGA-E2-A14Q-01	Diploid	621.308	CDK1: Diploid
TCGA-E2-A14V-01	Diploid	2994.97	CDK1: Diploid
TCGA-E2-A14W-01	Diploid	1407.76	CDK1: Diploid
TCGA-E2-A14X-01	Diploid	733.945	CDK1: Diploid
TCGA-E2-A153-01	Diploid	240.823	CDK1: Diploid
TCGA-E2-A155-01	Diploid	1391.65	CDK1: Diploid
TCGA-E2-A156-01	Diploid	485.284	CDK1: Diploid
TCGA-E2-A158-01	Diploid	932.225	CDK1: Diploid
TCGA-E2-A15A-01	Diploid	1166.76	CDK1: Diploid
TCGA-E2-A15C-01	Diploid	235.6	CDK1: Diploid
TCGA-E2-A15D-01	Diploid	265.149	CDK1: Diploid
TCGA-E2-A15E-01	Diploid	372.976	CDK1: Diploid
TCGA-E2-A15H-01	Diploid	909.054	CDK1: Diploid
TCGA-E2-A15I-01	Diploid	336.644	CDK1: Diploid
TCGA-E2-A15J-01	Diploid	641.343	CDK1: Diploid
TCGA-E2-A15K-01	Diploid	1226.68	CDK1: Diploid
TCGA-E2-A15L-01	Diploid	1231.04	CDK1: Diploid
TCGA-E2-A15M-01	Diploid	1544.14	CDK1: Diploid
TCGA-E2-A15O-01	Diploid	939.94	CDK1: Diploid
TCGA-E2-A15R-01	Diploid	1209.27	CDK1: Diploid
TCGA-E2-A15T-01	Diploid	983.139	CDK1: Diploid
TCGA-E2-A1B0-01	Diploid	908.652	CDK1: Diploid
TCGA-E2-A1B1-01	Diploid	716.405	CDK1: Diploid
TCGA-E2-A1B4-01	Diploid	166.81	CDK1: Diploid
TCGA-E2-A1B5-01	Diploid	392.659	CDK1: Diploid
TCGA-E2-A1B6-01	Diploid	1305.22	CDK1: Diploid
TCGA-E2-A1BC-01	Diploid	182.975	CDK1: Diploid
TCGA-E2-A1BD-01	Diploid	666.583	CDK1: Diploid
TCGA-E2-A1IF-01	Diploid	631.512	CDK1: Diploid
TCGA-E2-A1IG-01	Diploid	376.776	CDK1: Diploid
TCGA-E2-A1IH-01	Diploid	962.677	CDK1: Diploid
TCGA-E2-A1II-01	Diploid	1486.97	CDK1: Diploid
TCGA-E2-A1IJ-01	Diploid	298.651	CDK1: Diploid
TCGA-E2-A1IK-01	Diploid	455	CDK1: Diploid
TCGA-E2-A1IL-01	Diploid	154.534	CDK1: Diploid
TCGA-E2-A1IO-01	Diploid	543.568	CDK1: Diploid
TCGA-E2-A1IU-01	Diploid	409.455	CDK1: Diploid
TCGA-E2-A1L6-01	Diploid	768.524	CDK1: Diploid
TCGA-E2-A1L7-01	Diploid	2782.97	CDK1: Diploid
TCGA-E2-A1L8-01	Diploid	707.557	CDK1: Diploid
TCGA-E2-A1L9-01	Diploid	541.633	CDK1: Diploid
TCGA-E2-A1LB-01	Diploid	761.092	CDK1: Diploid
TCGA-E2-A1LL-01	Diploid	1833.89	CDK1: Diploid
TCGA-E2-A2P6-01	Diploid	1115	CDK1: Diploid
TCGA-E2-A570-01	Diploid	861.423	CDK1: Diploid
TCGA-E2-A573-01	Diploid	3078.97	CDK1: Diploid
TCGA-E2-A576-01	Diploid	1047.66	CDK1: Diploid
TCGA-E2-A9RU-01	Diploid	1928.22	CDK1: Diploid
TCGA-E9-A1N3-01	Diploid	752.085	CDK1: Diploid
TCGA-E9-A1N4-01	Diploid	830.47	CDK1: Diploid
TCGA-E9-A1N8-01	Diploid	780.648	CDK1: Diploid
TCGA-E9-A1NA-01	Diploid	693.259	CDK1: Diploid
TCGA-E9-A1NC-01	Diploid	1116.99	CDK1: Diploid
TCGA-E9-A1NE-01	Diploid	996.396	CDK1: Diploid
TCGA-E9-A1NG-01	Diploid	295.676	CDK1: Diploid
TCGA-E9-A1NH-01	Diploid	398.032	CDK1: Diploid
TCGA-E9-A1QZ-01	Diploid	823.034	CDK1: Diploid
TCGA-E9-A1R0-01	Diploid	776.641	CDK1: Diploid
TCGA-E9-A1R2-01	Diploid	561.178	CDK1: Diploid
TCGA-E9-A1R4-01	Diploid	788.469	CDK1: Diploid
TCGA-E9-A1R5-01	Diploid	343.747	CDK1: Diploid
TCGA-E9-A1R6-01	Diploid	635.24	CDK1: Diploid
TCGA-E9-A1RA-01	Diploid	799.435	CDK1: Diploid
TCGA-E9-A1RD-01	Diploid	545.186	CDK1: Diploid
TCGA-E9-A1RE-01	Diploid	1243.29	CDK1: Diploid
TCGA-E9-A1RI-01	Diploid	358.142	CDK1: Diploid
TCGA-E9-A227-01	Diploid	739.021	CDK1: Diploid
TCGA-E9-A228-01	Diploid	1805.09	CDK1: Diploid
TCGA-E9-A229-01	Diploid	648.433	CDK1: Diploid
TCGA-E9-A22A-01	Diploid	1646.02	CDK1: Diploid
TCGA-E9-A22G-01	Diploid	3073.62	CDK1: Diploid
TCGA-E9-A22H-01	Diploid	1511.44	CDK1: Diploid
TCGA-E9-A243-01	Diploid	1044.57	CDK1: Diploid
TCGA-E9-A245-01	Diploid	539.873	CDK1: Diploid
TCGA-E9-A249-01	Diploid	1585.02	CDK1: Diploid
TCGA-E9-A24A-01	Diploid	547.091	CDK1: Diploid
TCGA-E9-A2JT-01	Diploid	470.963	CDK1: Diploid
TCGA-E9-A3HO-01	Diploid	1522.89	CDK1: Diploid
TCGA-E9-A3QA-01	Diploid	899.626	CDK1: Diploid
TCGA-E9-A3X8-01	Diploid	412.519	CDK1: Diploid
TCGA-E9-A5FL-01	Diploid	1124.68	CDK1: Diploid
TCGA-E9-A5UO-01	Diploid	762.26	CDK1: Diploid
TCGA-E9-A6HE-01	Diploid	1045.63	CDK1: Diploid
TCGA-EW-A1IW-01	Diploid	1565.73	CDK1: Diploid
TCGA-EW-A1IX-01	Diploid	129.643	CDK1: Diploid
TCGA-EW-A1IY-01	Diploid	1858.45	CDK1: Diploid
TCGA-EW-A1IZ-01	Diploid	897.06	CDK1: Diploid
TCGA-EW-A1J1-01	Diploid	528.072	CDK1: Diploid
TCGA-EW-A1J2-01	Diploid	151.654	CDK1: Diploid
TCGA-EW-A1J3-01	Diploid	2590.08	CDK1: Diploid
TCGA-EW-A1J5-01	Diploid	881.842	CDK1: Diploid
TCGA-EW-A1OX-01	Diploid	300.553	CDK1: Diploid
TCGA-EW-A1OY-01	Diploid	1302.33	CDK1: Diploid
